antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Temp_Category_Warm'}),frozenset({'Humidity_Category_Humid'}),0.21458923512747877,0.34006137865911235,0.09608120868744098,0.4477447744774477,1.3166587050930014,1.0,0.023107697544586137,1.1949884597586988,0.30621140855586304,0.20952380952380953,0.16317183497995655,0.36514277946364576
frozenset({'Humidity_Category_Humid'}),frozenset({'Temp_Category_Warm'}),0.34006137865911235,0.21458923512747877,0.09608120868744098,0.2825407844498438,1.3166587050930014,1.0,0.023107697544586137,1.0947113757124982,0.3644304619085518,0.20952380952380953,0.08651721158086514,0.36514277946364576
frozenset({'Humidity_Category_Dry'}),frozenset({'Temp_Category_Hot'}),0.22332389046270065,0.23961284230406044,0.07743153918791312,0.346723044397463,1.4470136118893135,1.0,0.023920267039744765,1.163958335243299,0.39774816517162126,0.20085731781996327,0.14086271843143533,0.33493787687853444
frozenset({'Temp_Category_Hot'}),frozenset({'Humidity_Category_Dry'}),0.23961284230406044,0.22332389046270065,0.07743153918791312,0.3231527093596059,1.4470136118893135,1.0,0.023920267039744765,1.147490904192662,0.40626869401261534,0.20085731781996327,0.12853339721802143,0.33493787687853444
frozenset({'Temp_Category_Hot'}),frozenset({'Humidity_Category_Moderate'}),0.23961284230406044,0.29957507082152973,0.09313031161473088,0.3886699507389163,1.2974041854452716,1.0,0.021348277411743943,1.1457394087286823,0.3014650765001069,0.20878539296110088,0.1272011834614255,0.34977232761532107
frozenset({'Humidity_Category_Moderate'}),frozenset({'Temp_Category_Hot'}),0.29957507082152973,0.23961284230406044,0.09313031161473088,0.31087470449172583,1.2974041854452716,1.0,0.021348277411743943,1.1034091516479674,0.32727300687793875,0.20878539296110088,0.0937178665715463,0.34977232761532107
frozenset({'Wind_Category_Light'}),frozenset({'Temp_Category_Hot'}),0.1961756373937677,0.23961284230406044,0.060906515580736544,0.3104693140794224,1.2957123294979638,1.0,0.013900313514005141,1.1027604328888756,0.28392241232114196,0.1624685138539043,0.09318472972382283,0.2823282530988245
frozenset({'Temp_Category_Hot'}),frozenset({'Wind_Category_Light'}),0.23961284230406044,0.1961756373937677,0.060906515580736544,0.2541871921182266,1.2957123294979638,1.0,0.013900313514005141,1.0777829960968637,0.3001415131802199,0.1624685138539043,0.07216944076734447,0.2823282530988245
frozenset({'Temp_Category_Hot'}),frozenset({'Wind_Category_Moderate'}),0.23961284230406044,0.14742681775259678,0.05016525023607177,0.20935960591133004,1.4200917384153628,1.0,0.014839891402529337,1.078332436113538,0.3890388443486678,0.14891380518570427,0.07264219594085397,0.2748159118427747
frozenset({'Wind_Category_Moderate'}),frozenset({'Temp_Category_Hot'}),0.14742681775259678,0.23961284230406044,0.05016525023607177,0.3402722177742194,1.4200917384153628,1.0,0.014839891402529337,1.1525771358764911,0.3469733123763143,0.14891380518570427,0.13237911036684052,0.2748159118427747
frozenset({'Humidity_Category_Very Dry'}),frozenset({'Temp_Category_Very Hot'}),0.08675637393767706,0.10422568460812087,0.05370632672332389,0.6190476190476191,5.939491991587122,1.0,0.044664084255551365,2.3514075779036827,0.9106391863274376,0.3912295786758384,0.5747228130941401,0.5671682036347948
frozenset({'Temp_Category_Very Hot'}),frozenset({'Humidity_Category_Very Dry'}),0.10422568460812087,0.08675637393767706,0.05370632672332389,0.5152887882219706,5.939491991587121,1.0,0.044664084255551365,1.8840984154510072,0.9283983903828416,0.3912295786758384,0.4692421628301066,0.5671682036347948
frozenset({'Wind_Category_Light'}),frozenset({'Humidity_Category_Dry'}),0.1961756373937677,0.22332389046270065,0.0653918791312559,0.3333333333333333,1.492600422832981,1.0,0.021581172574479633,1.1650141643059488,0.41057268722466955,0.18466666666666662,0.14164133738601822,0.3130725863284003
frozenset({'Humidity_Category_Dry'}),frozenset({'Wind_Category_Light'}),0.22332389046270065,0.1961756373937677,0.0653918791312559,0.2928118393234672,1.492600422832981,1.0,0.021581172574479633,1.1366485007854943,0.4249240121580546,0.18466666666666662,0.12022054372223412,0.3130725863284003
frozenset({'Wind_Category_Calm'}),frozenset({'Humidity_Category_Humid'}),0.625590179414542,0.34006137865911235,0.27112842304060436,0.4333962264150944,1.274464710235571,1.0,0.058389364153293766,1.1647268375313702,0.575190184466718,0.3903806934058464,0.14142958865832228,0.6153444165744337
frozenset({'Humidity_Category_Humid'}),frozenset({'Wind_Category_Calm'}),0.34006137865911235,0.625590179414542,0.27112842304060436,0.7972926067337731,1.274464710235571,1.0,0.058389364153293766,1.8470457073744952,0.3263286111837649,0.3903806934058464,0.4585948815411494,0.6153444165744337
"frozenset({'High_Wind', 'High_Humidity'})",frozenset({'High_Temp'}),0.12240321057601511,0.5504013220018886,0.08356940509915015,0.6827386692381872,1.2404379167458548,1.0,0.01619851618083587,1.417124100559397,0.22086805041052576,0.14182692307692307,0.29434549902492024,0.41728612638405177
frozenset({'High_Temp'}),"frozenset({'High_Wind', 'High_Humidity'})",0.5504013220018886,0.12240321057601511,0.08356940509915015,0.15183358352991635,1.2404379167458548,1.0,0.01619851618083587,1.034698818984587,0.4311246927808504,0.14182692307692307,0.03353518758109635,0.41728612638405177
"frozenset({'Temp_Category_Warm', 'High_Humidity'})",frozenset({'High_Temp'}),0.12452785646836638,0.5504013220018886,0.12086874409820586,0.9706161137440759,1.7634698082006883,1.0,0.05232844727195557,15.300858235097031,0.4945173197974248,0.2181508308478909,0.9346441889314284,0.5951086144529943
